tienda,fecha,hora,dia_semana,predicciones
13,2025-07-07,9,0,14
13,2025-07-07,10,0,20
13,2025-07-07,11,0,28
13,2025-07-07,12,0,26
13,2025-07-07,13,0,27
13,2025-07-07,14,0,25
13,2025-07-07,15,0,27
13,2025-07-07,16,0,26
13,2025-07-07,17,0,28
13,2025-07-07,18,0,26
13,2025-07-07,19,0,19
13,2025-07-08,9,1,14
13,2025-07-08,10,1,21
13,2025-07-08,11,1,27
13,2025-07-08,12,1,25
13,2025-07-08,13,1,27
13,2025-07-08,14,1,23
13,2025-07-08,15,1,23
13,2025-07-08,16,1,23
13,2025-07-08,17,1,30
13,2025-07-08,18,1,30
13,2025-07-08,19,1,21
13,2025-07-09,9,2,14
13,2025-07-09,10,2,23
13,2025-07-09,11,2,25
13,2025-07-09,12,2,31
13,2025-07-09,13,2,26
13,2025-07-09,14,2,29
13,2025-07-09,15,2,26
13,2025-07-09,16,2,27
13,2025-07-09,17,2,27
13,2025-07-09,18,2,30
13,2025-07-09,19,2,25
13,2025-07-10,9,3,14
13,2025-07-10,10,3,23
13,2025-07-10,11,3,23
13,2025-07-10,12,3,27
13,2025-07-10,13,3,22
13,2025-07-10,14,3,29
13,2025-07-10,15,3,27
13,2025-07-10,16,3,25
13,2025-07-10,17,3,30
13,2025-07-10,18,3,28
13,2025-07-10,19,3,22
13,2025-07-11,9,4,14
13,2025-07-11,10,4,23
13,2025-07-11,11,4,30
13,2025-07-11,12,4,30
13,2025-07-11,13,4,29
13,2025-07-11,14,4,31
13,2025-07-11,15,4,30
13,2025-07-11,16,4,25
13,2025-07-11,17,4,30
13,2025-07-11,18,4,31
13,2025-07-11,19,4,19
13,2025-07-12,9,5,16
13,2025-07-12,10,5,21
13,2025-07-12,11,5,27
13,2025-07-12,12,5,31
13,2025-07-12,13,5,33
13,2025-07-12,14,5,32
13,2025-07-12,15,5,30
13,2025-07-12,16,5,25
13,2025-07-12,17,5,28
13,2025-07-12,18,5,26
13,2025-07-12,19,5,20
13,2025-07-13,9,6,10
13,2025-07-13,10,6,22
13,2025-07-13,11,6,24
13,2025-07-13,12,6,26
13,2025-07-13,13,6,30
13,2025-07-13,14,6,32
13,2025-07-13,15,6,24
13,2025-07-13,16,6,25
13,2025-07-13,17,6,28
